Orion Flexi Cap Fund,,,,,
Monthly Portfolio Statement as on 30-Jun-2026,,,,,
Name of the Instrument,ISIN,Industry / Rating,Quantity,Market/Fair Value (Rs. in Lakhs),% to Net Assets
Equity & Equity related,,,,,
Gamma Tech Ltd,INE001A01011,IT - Services,120000,1680,8.00
Alpha Bank Ltd,INE002A01012,Financials / Bank,90000,1575,7.50
Nova Pharma Ltd,INE003A01013,Pharma,60000,1260,6.00
Beta NBFC Ltd,INE004A01014,NBFC / Microfinance,40000,840,4.00
Helios Auto Ltd,INE005A01015,Auto,30000,1050,5.00
Debt Instruments,,,,,
7.26% GOI 2033,IN0020230012,Sovereign,50000,520,2.50
TREPS / Reverse Repo,,,,,15.00
Net Receivables/(Payables),,,,,-0.50
Grand Total,,,,,100.00
